ListingKey,Status,URL,Message,Timestamp
3yd-SANDICOR-180024247,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=810062&listing=180024247,Successfully imported,
3yd-SANDICOR-180024986,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=805252&listing=180024986,Successfully imported,
3yd-SANDICOR-180007978,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=120112&listing=180007978,Successfully imported,
3yd-SANDICOR-180026108,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=120112&listing=180026108,Successfully imported,
3yd-SANDICOR-180022829,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=633575&listing=180022829,Successfully imported,
3yd-SANDICOR-180023410,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=618522&listing=180023410,Successfully imported,
3yd-SANDICOR-170059202,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=638212&listing=170059202,Successfully imported,
3yd-SANDICOR-180010063,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=622425&listing=180010063,Successfully imported,
3yd-SANDICOR-180011903,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=620624&listing=180011903,Successfully imported,
3yd-SANDICOR-180014667,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=620624&listing=180014667,Successfully imported,
3yd-SANDICOR-180016893,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=650039&listing=180016893,Successfully imported,
3yd-SANDICOR-180017236,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=630143&listing=180017236,Successfully imported,
3yd-SANDICOR-180017303,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=638238&listing=180017303,Successfully imported,
3yd-SANDICOR-180019358,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=625485&listing=180019358,Successfully imported,
3yd-SANDICOR-180021301,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=620624&listing=180021301,Successfully imported,
3yd-SANDICOR-180021982,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=601148&listing=180021982,Successfully imported,
3yd-SANDICOR-180022048,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=625485&listing=180022048,Successfully imported,
3yd-SANDICOR-180022734,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=669543&listing=180022734,Successfully imported,
3yd-SANDICOR-180024443,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=630143&listing=180024443,Successfully imported,
3yd-SANDICOR-180024879,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=620624&listing=180024879,Successfully imported,
3yd-SANDICOR-180025885,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=610563&listing=180025885,Successfully imported,
3yd-SANDICOR-180026132,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=656377&listing=180026132,Successfully imported,
3yd-SANDICOR-180026280,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=648214&listing=180026280,Successfully imported,
3yd-SANDICOR-180026570,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=631919&listing=180026570,Successfully imported,
3yd-SANDICOR-180026714,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=669543&listing=180026714,Successfully imported,
3yd-SANDICOR-180015205,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=638153&listing=180015205,Successfully imported,
3yd-SANDICOR-180018401,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=669055&listing=180018401,Successfully imported,
3yd-SANDICOR-180018466,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=646791&listing=180018466,Successfully imported,
3yd-SANDICOR-180020846,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=646791&listing=180020846,Successfully imported,
3yd-SANDICOR-180021247,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=669055&listing=180021247,Successfully imported,
3yd-SANDICOR-180022400,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=669055&listing=180022400,Successfully imported,
3yd-SANDICOR-180022945,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=669055&listing=180022945,Successfully imported,
3yd-SANDICOR-180023085,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=669055&listing=180023085,Successfully imported,
3yd-SANDICOR-180024101,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=669055&listing=180024101,Successfully imported,
3yd-SANDICOR-180025413,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=622037&listing=180025413,Successfully imported,
